Net Status Report
Filename     : C:\Users\Kyle\gatorsynth_sequencer\Altium\Top Board\GatorSynth_Step_Sequencer\Gatorsynth_Sequencer.PcbDoc
Date         : 11/6/2017
Time         : 2:31:26 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetR2_N7_1, Signal Layers Only, 5.2461mm
    NetR2_N8_1, Signal Layers Only, 5.2461mm
    NetR2_N9_1, Signal Layers Only, 5.2461mm
    NetR32_1, Signal Layers Only, 0mm
    NetR3_A1_1, Signal Layers Only, 5.0721mm
    NetR3_A2_1, Signal Layers Only, 5.0721mm
    NetR3_A3_1, Signal Layers Only, 5.0721mm
    NetR3_A4_1, Signal Layers Only, 5.0721mm
    NetR3_A5_1, Signal Layers Only, 5.0721mm
    NetR3_A6_1, Signal Layers Only, 5.0721mm
    NetR3_A7_1, Signal Layers Only, 5.0721mm
    NetR3_A8_1, Signal Layers Only, 5.0721mm
    NetR3_N10_1, Signal Layers Only, 5.0721mm
    NetR3_N11_1, Signal Layers Only, 5.0721mm
    NetR3_N12_1, Signal Layers Only, 5.0721mm
    NetR3_N13_1, Signal Layers Only, 5.0721mm
    NetR3_N14_1, Signal Layers Only, 5.0721mm
    NetR3_N15_1, Signal Layers Only, 5.0721mm
    NetR3_N16_1, Signal Layers Only, 5.0721mm
    NetR3_N1_1, Signal Layers Only, 5.0721mm
    NetR3_N2_1, Signal Layers Only, 5.0721mm
    NetR3_N3_1, Signal Layers Only, 5.0721mm
    NetR3_N4_1, Signal Layers Only, 5.0721mm
    NetR3_N5_1, Signal Layers Only, 5.0721mm
    NetR3_N6_1, Signal Layers Only, 5.0721mm
    NetR3_N7_1, Signal Layers Only, 5.0721mm
    NetR3_N8_1, Signal Layers Only, 5.0721mm
    NetR3_N9_1, Signal Layers Only, 5.0721mm
    NetU1_42, Signal Layers Only, 0mm
    PLAY/PAUSE_LED, Signal Layers Only, 0mm
    PP_BTN, Signal Layers Only, 184.5173mm
    PP_LED, Signal Layers Only, 61.6724mm
    RED1, Signal Layers Only, 22.0987mm
    RED10, Signal Layers Only, 16.2662mm
    RED11, Signal Layers Only, 19.6882mm
    RED12, Signal Layers Only, 16.1333mm
    RED13, Signal Layers Only, 19.6882mm
    RED14, Signal Layers Only, 16.1333mm
    RED15, Signal Layers Only, 19.6882mm
    RED16, Signal Layers Only, 16.1333mm
    RED2, Signal Layers Only, 20.5709mm
    RED3, Signal Layers Only, 22.0987mm
    RED4, Signal Layers Only, 20.0619mm
    RED5, Signal Layers Only, 22.0987mm
    RED6, Signal Layers Only, 20.0619mm
    RED7, Signal Layers Only, 22.0987mm
    RED8, Signal Layers Only, 20.0619mm
    RED9, Signal Layers Only, 19.6882mm
    SCKO1, Signal Layers Only, 47.5177mm
    SCKO2, Signal Layers Only, 47.0675mm
    SCKO3, Signal Layers Only, 47.0675mm
    SCL, Signal Layers Only, 437.2022mm
    SDA, Signal Layers Only, 68.2686mm
    SDA_DISP0, Signal Layers Only, 158.5917mm
    SDA_DISP1, Signal Layers Only, 29.7523mm
    SDA_DISP2, Signal Layers Only, 45.7073mm
    SDA_DISP3, Signal Layers Only, 62.1614mm
    SDA_DISP4, Signal Layers Only, 86.4672mm
    SDA_DISP5, Signal Layers Only, 95.1199mm
    SDA_DISP6, Signal Layers Only, 80.2699mm
    SDA_DISP7, Signal Layers Only, 0mm
    SDTO1, Signal Layers Only, 44.5102mm
    SDTO2, Signal Layers Only, 44.6118mm
    SDTO3, Signal Layers Only, 45.0333mm
    SPCK, Signal Layers Only, 79.205mm
    SW1, Signal Layers Only, 167.9983mm
    SW10, Signal Layers Only, 189.1747mm
    SW11, Signal Layers Only, 214.4443mm
    SW12, Signal Layers Only, 237.0014mm
    SW13, Signal Layers Only, 284.0971mm
    SW14, Signal Layers Only, 302.7801mm
    SW15, Signal Layers Only, 336.5147mm
    SW16, Signal Layers Only, 354.9309mm
    SW2, Signal Layers Only, 192.195mm
    SW3, Signal Layers Only, 218.0488mm
    SW4, Signal Layers Only, 244.1891mm
    SW5, Signal Layers Only, 289.6883mm
    SW6, Signal Layers Only, 318.1166mm
    SW7, Signal Layers Only, 347.7914mm
    SW8, Signal Layers Only, 372.9152mm
    SW9, Signal Layers Only, 159.0566mm
    VOUT_A_CC1, Signal Layers Only, 0mm
    VOUT_A_CC2, Signal Layers Only, 0mm
    VOUT_B_CC1, Signal Layers Only, 0mm
    VOUT_B_CC2, Signal Layers Only, 0mm
count : 280
